R246 神奈川県・松田-山北-小山町（県境）,00dc143c
,3521.7969,13905.6370
,3521.8041,13905.7195
,3521.8059,13905.7384
,3521.8217,13905.8395
,3521.8263,13905.8675
,3521.8274,13905.8819
,3521.8279,13905.9210
,3521.8254,13905.9476
,3521.8217,13905.9728
,3521.8168,13905.9910
,3521.8064,13906.0198
,3521.8007,13906.0427
,3521.7753,13906.0807
,3521.7258,13906.1438
,3521.6856,13906.1942
,3521.6654,13906.2189
,3521.6475,13906.2353
,3521.5901,13906.3106
,3521.5742,13906.3341
,3521.5453,13906.3834
,3521.5287,13906.3950
,3521.4629,13906.4765
,3521.4149,13906.5370
,3521.3768,13906.5863
,3521.3645,13906.6036
,3521.3449,13906.6390
,3521.3273,13906.6798
,3521.3013,13906.7551
,3521.2636,13906.8782
,3521.2112,13907.0620
,3521.1759,13907.1800
,3521.1324,13907.3296
,3521.0953,13907.4591
,3521.0957,13907.4874
,3521.0849,13907.5081
,3521.0793,13907.5472
,3521.0630,13907.6972
,3521.0630,13907.7259
,3521.0562,13907.7556
,3521.0489,13907.8216
,3521.0232,13908.0401
,3521.0078,13908.1279
,3520.9893,13908.2021
,3520.9535,13908.3346
,3520.9430,13908.3808
,3520.9420,13908.4082
,3520.9502,13908.4777
,3520.9505,13908.5020
,3520.9414,13908.5425
,3520.9272,13908.5987
,3520.9233,13908.6231
,3520.9127,13908.6681
,3520.9041,13908.7097
,3520.9011,13908.7292
,3520.8975,13908.7490
,3520.8960,13908.7732
,3520.8963,13908.7847
