富士スピードウエイ・本コース,00bfbfbf
,3522.0257,13855.2295
,3522.0276,13855.2222
,3522.0308,13855.2151
,3522.0342,13855.2102
,3522.0374,13855.2079
,3522.0423,13855.2066
,3522.0464,13855.2071
,3522.0497,13855.2084
,3522.0525,13855.2111
,3522.0545,13855.2142
,3522.0819,13855.2568
,3522.1016,13855.2872
,3522.1371,13855.3422
,3522.1628,13855.3810
,3522.1751,13855.4002
,3522.1980,13855.4391
,3522.2391,13855.5020
,3522.2581,13855.5311
,3522.3230,13855.6285
,3522.3369,13855.6288
,3522.3884,13855.7072
,3522.4188,13855.7529
,3522.4439,13855.7915
,3522.5021,13855.8810
,3522.5460,13855.9465
,3522.5828,13856.0010
,3522.5852,13856.0093
,3522.5844,13856.0181
,3522.5815,13856.0248
,3522.5757,13856.0314
,3522.5708,13856.0338
,3522.5653,13856.0346
,3522.5079,13856.0247
,3522.5013,13856.0224
,3522.4948,13856.0188
,3522.4613,13855.9881
,3522.4475,13855.9729
,3522.4052,13855.9334
,3522.3722,13855.9020
,3522.3431,13855.8742
,3522.3331,13855.8646
,3522.3292,13855.8633
,3522.3207,13855.8639
,3522.3141,13855.8662
,3522.3090,13855.8695
,3522.2970,13855.8766
,3522.2870,13855.8821
,3522.2744,13855.8910
,3522.2613,13855.8966
,3522.2396,13855.9044
,3522.2315,13855.9066
,3522.2088,13855.9062
,3522.1888,13855.9016
,3522.1704,13855.8892
,3522.1716,13855.8909
,3522.1616,13855.8819
,3522.1529,13855.8658
,3522.1451,13855.8445
,3522.1409,13855.8265
,3522.1398,13855.8046
,3522.1445,13855.7830
,3522.1538,13855.7660
,3522.1679,13855.7499
,3522.2252,13855.6986
,3522.2277,13855.6958
,3522.2286,13855.6946
,3522.2297,13855.6911
,3522.2292,13855.6869
,3522.2277,13855.6832
,3522.2258,13855.6803
,3522.2233,13855.6771
,3522.2212,13855.6750
,3522.2169,13855.6707
,3522.2127,13855.6669
,3522.2042,13855.6617
,3522.2001,13855.6594
,3522.1914,13855.6565
,3522.1811,13855.6554
,3522.1711,13855.6557
,3522.1620,13855.6564
,3522.1600,13855.6567
,3522.1446,13855.6590
,3522.1335,13855.6608
,3522.1227,13855.6634
,3522.1131,13855.6652
,3522.1016,13855.6666
,3522.0897,13855.6666
,3522.0767,13855.6637
