R139 富士吉田-西湖,00dc143c
,3529.1696,13838.3030
,3529.1742,13838.3236
,3529.2329,13838.4793
,3529.2768,13838.5938
,3529.2821,13838.6167
,3529.2831,13838.6362
,3529.2813,13838.6556
,3529.2800,13838.6733
,3529.2701,13838.7100
,3529.2545,13838.7368
,3528.9407,13839.2326
,3528.7542,13839.5721
,3528.7472,13839.6092
,3528.7317,13839.6425
,3528.7154,13839.6558
,3528.6922,13839.6653
,3528.6752,13839.6767
,3528.6519,13839.6996
,3528.6403,13839.7195
,3528.6372,13839.7480
,3528.6798,13839.8822
,3528.6829,13839.9069
,3528.6829,13839.9792
,3528.6891,13840.0839
,3528.6845,13840.1989
,3528.6759,13840.2741
,3528.6813,13840.3321
,3528.7193,13840.5338
,3528.7123,13840.5699
,3528.6999,13840.6003
,3528.6821,13840.6336
,3528.6713,13840.6651
,3528.6612,13840.7126
,3528.6559,13840.7718
,3528.6546,13840.8280
,3528.6576,13840.8522
,3528.6627,13840.8775
,3528.6833,13840.9553
,3528.6897,13840.9895
,3528.6825,13841.0608
,3528.6669,13841.1561
,3528.6579,13841.2195
,3528.6529,13841.2678
,3528.6537,13841.3120
,3528.6608,13841.3394
,3528.6798,13841.3800
,3528.7634,13841.5162
,3528.7737,13841.5370
,3528.7799,13841.5558
,3528.7853,13841.6259
,3528.7831,13841.7960
,3528.7823,13841.8665
,3528.8096,13842.0611
,3528.8476,13842.2800
,3528.9221,13842.6961
,3528.9332,13842.7408
,3528.9444,13842.7753
,3528.9593,13842.8200
,3529.0181,13842.9562
,3529.0644,13843.0461
,3529.0797,13843.0740
,3529.0842,13843.0964
,3529.0850,13843.1127
,3529.0838,13843.1263
,3529.0821,13843.1376
,3529.0350,13843.2916
,3528.9899,13843.4384
,3528.9648,13843.5126
,3528.9602,13843.5327
,3528.9577,13843.5520
,3528.9577,13843.5831
,3528.9617,13843.6299
,3528.9638,13843.6456
,3528.9666,13843.6561
,3528.9912,13843.6999
,3529.0433,13843.7757
,3529.0806,13843.8264
,3529.1648,13843.9375
,3529.1880,13843.9716
,3529.2216,13844.0187
,3529.2685,13844.1071
,3529.3022,13844.1898
,3529.3200,13844.2490
,3529.3379,13844.3277
,3529.3379,13844.3301
,3529.3973,13844.6902
,3529.4759,13845.1980
,3529.4966,13845.3388
,3529.4970,13845.3688
,3529.4952,13845.4288
,3529.4856,13845.5204
,3529.4808,13845.5563
,3529.4577,13845.6329
,3529.4381,13845.6886
,3529.3880,13845.8107
,3529.3443,13845.9097
,3529.2808,13846.0524
,3529.1798,13846.2930
,3529.1034,13846.4829
,3529.0304,13846.6533
,3528.9857,13846.7418
,3528.8978,13846.9381
,3528.7660,13847.1270
,3528.6483,13847.2780
,3528.5754,13847.3977
,3528.5044,13847.5152
