国道138号 山中湖-須走,00dc143c
,3523.0007,13851.2130
,3522.9894,13851.2308
,3522.9853,13851.2439
,3522.9837,13851.2526
,3522.9855,13851.2754
,3522.9780,13851.2873
,3522.9726,13851.3045
,3522.9748,13851.3157
,3522.9845,13851.3406
,3522.9951,13851.3533
,3523.0246,13851.3675
,3523.0349,13851.3844
,3523.0370,13851.3912
,3523.0367,13851.3955
,3523.0312,13851.4219
,3523.0305,13851.4296
,3523.0326,13851.4460
,3523.0353,13851.4551
,3523.0410,13851.4655
,3523.0596,13851.4910
,3523.0835,13851.5157
,3523.1678,13851.5947
,3523.2156,13851.6306
,3523.2579,13851.6587
,3523.3427,13851.7217
,3523.3835,13851.7601
,3523.3940,13851.7668
,3523.4151,13851.7747
,3523.4703,13851.8127
,3523.4808,13851.8223
,3523.4843,13851.8312
,3523.4849,13851.8825
,3523.4794,13851.9093
,3523.4781,13851.9177
,3523.4787,13851.9265
,3523.4811,13851.9310
,3523.4840,13851.9304
,3523.4870,13851.9273
,3523.5050,13851.8694
,3523.5087,13851.8615
,3523.5122,13851.8575
,3523.5183,13851.8539
,3523.5647,13851.8452
,3523.6303,13851.8332
,3523.6471,13851.8329
,3523.6620,13851.8375
,3523.6723,13851.8461
,3523.6931,13851.8742
,3523.7124,13851.9073
,3523.7541,13851.9434
,3523.7621,13851.9517
,3523.7843,13851.9808
,3523.7917,13851.9871
,3523.8185,13851.9991
,3523.8209,13852.0009
,3523.8495,13852.0287
,3523.8542,13852.0300
,3523.9160,13852.0258
,3523.9724,13852.0224
,3524.0072,13852.0192
,3524.0118,13852.0198
,3524.0200,13852.0255
,3524.0249,13852.0306
,3524.0312,13852.0432
,3524.0300,13852.0630
,3524.0160,13852.1033
,3524.0102,13852.1245
,3524.0109,13852.1350
,3524.0158,13852.1491
,3524.0398,13852.1889
,3524.0503,13852.2252
,3524.0557,13852.2586
,3524.0629,13852.3119
,3524.0771,13852.3825
,3524.0828,13852.3920
,3524.1404,13852.4497
,3524.1489,13852.4632
,3524.1660,13852.4970
,3524.1720,13852.5049
,3524.2418,13852.5507
,3524.2672,13852.5628
,3524.2733,13852.5636
,3524.2854,13852.5642
,3524.3936,13852.5811
,3524.3999,13852.5796
,3524.4528,13852.5670
