Script started on Tue May 23 18:48:17 2017
bash-3.2$ exitclearat g000.csvbash-3.2$ ls[Kscreen /dev/tty.G-Rays1-SPPslave
[?1h=[0m(B[1;24r[H[J[H[J5.700,A,3540.4432,N,13943.1907,E,0.64,242.29,230517,,,A*6F
$GPRMC,095007.200,A,3540.5135,N,13943.0835,E,23.74,291.92,230517,,,A*54
$GPRMC,095007.300,A,3540.5139,N,13943.0828,E,23.68,292.46,230517,,,A*52
$GPRMC,095007.400,A,3540.5143,N,13943.0821,E,23.62,292.98,230517,,,A*58
$GPRMC,095007.500,A,3540.5148,N,13943.0813,E,23.58,293.55,230517,,,A*5A
$GPRMC,095007.600,A,3540.5152,N,13943.0806,E,23.53,294.15,230517,,,A*5E
$GPRMC,095007.700,A,3540.5157,N,13943.0799,E,23.47,294.74,230517,,,A*51
$GPRMC,095007.800,A,3540.5161,N,13943.0792,E,23.42,295.27,230517,,,A*52
$GPRMC,095007.900,A,3540.5166,N,13943.0785,E,23.36,295.90,230517,,,A*5D
$GPRMC,095008.000,A,3540.5171,N,13943.0779,E,23.34,296.59,230517,,,A*5A
$GPRMC,095008.100,A,3540.5176,N,13943.0772,E,23.29,297.25,230517,,,A*51
$GPRMC,095008.200,A,3540.5181,N,13943.0765,E,23.23,297.86,230517,,,A*5F
$GPRMC,095008.300,A,3540.5186,N,13943.0759,E,23.18,298.52,230517,,,A*58
$GPRMC,095008.400,A,3540.5191,N,13943.0753,E,23.07,299.27,230517,,,A*5E
$GPRMC,095008.500,A,3540.5195,N,13943.0747,E,22.94,299.70,230517,,,A*57
$GPRMC,095008.600,A,3540.5199,N,13943.0741,E,22.82,300.12,230517,,,A*5C
$GPRMC,095008.700,A,3540.5204,N,13943.0735,E,22.70,300.59,230517,,,A*5B
$GPRMC,095008.800,A,3540.5208,N,13943.0729,E,22.58,301.12,230517,,,A*51
$GPRMC,095008.900,A,3540.5213,N,13943.0723,E,22.46,301.65,230517,,,A*5F
$GPRMC,095009.000,A,3540.5219,N,13943.0718,E,22.38,302.56,230517,,,A*5F
$GPRMC,095009.100,A,3540.5224,N,13943.0713,E,22.26,303.21,230517,,,A*55
$GPRMC,095009.200,A,3540.5229,N,13943.0707,E,22.13,303.88,230517,,,A*5B
$GPRMC,095009.300,A,3540.5234,N,13943.0702,E,22.01,304.55,230517,,,A*57
$GPRMC,095009.400,A,3540.5240,N,13943.0697,E,21.92,305.27,230517,,,A*53
$GPRMC,095009.500,A,3540.5245,N,13943.0692,E,21.78,305.95,230517,,,A*5F
$GPRMC,095009.600,A,3540.5250,N,13943.0687,E,21.67,306.56,230517,,,A*5E
$GPRMC,095009.700,A,3540.5255,N,13943.0682,E,21.63,307.15,230517,,,A*5D
$GPRMC,095009.800,A,3540.5260,N,13943.0677,E,21.60,307.75,230517,,,A*5B
$GPRMC,095009.900,A,3540.5265,N,13943.0671,E,21.59,308.33,230517,,,A*5E
$GPRMC,095010.000,A,3540.5271,N,13943.0666,E,21.62,308.95,230517,,,A*58
$GPRMC,095010.100,A,3540.5276,N,13943.0661,E,21.62,309.48,230517,,,A*58
$GPRMC,095010.200,A,3540.5282,N,13943.0656,E,21.61,310.06,230517,,,A*55
$GPRMC,095010.300,A,3540.5287,N,13943.0651,E,21.60,310.67,230517,,,A*50
$GPRMC,095010.400,A,3540.5293,N,13943.0646,E,21.61,311.25,230517,,,A*52
$GPRMC,095010.500,A,3540.5299,N,13943.0642,E,21.61,311.85,230517,,,A*57
$GPRMC,095010.600,A,3540.5305,N,13943.0637,E,21.60,312.53,230517,,,A*5B
$GPRMC,095010.700,A,3540.5310,N,13943.0633,E,21.58,313.18,230517,,,A*5F
$GPRMC,095010.800,A,3540.5316,N,13943.0629,E,21.56,313.82,230517,,,A*50
$GPRMC,095010.900,A,3540.5322,N,13943.0624,E,21.54,314.33,230517,,,A*54
$GPRMC,095011.000,A,3540.5327,N,13943.0620,E,21.51,314.89,230517,,,A*59
$GPRMC,095011.100,A,3540.5333,N,13943.0616,E,21.47,315.39,230517,,,A*55
$GPRMC,095011.200,A,3540.5339,N,13943.0612,E,21.43,316.21,230517,,,A*56
$GPRMC,095011.300,A,3540.5345,N,13943.0609,E,21.38,317.00,230517,,,A*58
$GPRMC,095011.400,A,3540.5351,N,13943.0606,E,21.31,317.96,230517,,,A*53
$GPRMC,095011.500,A,3540.5357,N,13943.0602,E,21.23,318.44,230517,,,A*53
$GPRMC,095011.600,A,3540.5362,N,13943.0599,E,21.14,319.00,230517,,,A*52
$GPRMC,095011.700,A,3540.5367,N,13943.0595,E,21.04,319.49,230517,,,A*56
$GPRMC,095011.800,A,3540.5373,N,13943.0592,E,20.93,319.95,230517,,,A*55
$GPRMC,095011.900,A,3540.5378,N,13943.0589,E,20.82,320.38,230517,,,A*58
